Britain|Albion,Blighty
Christmas|Chrissie,Nativity,Yule
Elysium|Avalon,Shangri-La,Valhalla,bliss
Hades|Abaddon,Acheron,Avernus,Niflheim,Sheol,perdition
Herculean|Sisyphean,buff,fatiguing,killing,knackering,shredded,stark,toilsome
Ireland|Erin,Hibernia
Jezebel|hoochie,hussy,man-eater,tart,trollop,vamp,wanton
Judas|renegade,renegado,traditor
Machiavellian|dishonest,foxy
Pharisaic|canting,goody-goody
Rabelaisian|disrespectful,lively,raunchy,spicy
Romeo|flirt,gallant,gigolo,skirt-chaser
Scrooge|cheapskate,saver,tight-arse,tight-ass,tightwad
Stygian|Hadean,caliginous,unlit
U-turn|U-ey,about-face,about-turn,one-eighty
VIP|guru,panjandrum
X-ray|cholangiogram,roentgenogram
Xmas|Chrissie,Nativity,Yule
abandon|ditch,forsake,jettison,junk,leave,quit,wantonness
abandoned|ditched,empty,idle,impetuous,rejected,wanton
abandonment|betrayal,dispensation,neglect,stranding
abase|fawn,reduce
abate|attenuate,remit
abatement|attenuation,lowering,weakening
abbey|cell,cenoby
abbreviate|curtail,edit
abbreviation|diminutive,telescoping
abdicate|cede,demit,disclaim,forsake,shirk
abdication|cession,demission,retirement
abdomen|bingy,intestines,paunch
abduct|hijack,nobble,rape
aberrant|irregular,perverted,singular,transgressing
aberration|aberrancy,mistake,vagary
abet|encourage,succor
abeyance|mothball,pigeonhole,reschedule,reserve,table
abhorrence|contempt,disrelish,repellency
abide|handle,wear
ability|accomplishment,genius,know-how,preparedness,proficiency,resources
abject|awful,humiliating,shabby
abjure|disaffirm,forsake
ablaze|afire,feverish,ignited,incandescent
able|effective,expert,genius,suitable
able-bodied|abled,staunch
ablutions|douche,lavation,purification
abnegate|eschew,forsake
abnormal|backasswards,freakish,kinky,malformed,quirky,weird
abnormality|flaw,singularity,unorthodoxy
abode|diggings,habitation,itinerant,rooms,seat,whereabouts
abolish|abrogate,delete,deracinate,extirpate,overturn
abolition|abrogation,chopping,dissolution,extirpation,rescission
abominable|beastly,chronic,diabolical,distasteful,execrable,nauseating
abominably|abhorrently,awfully,distastefully,nastily,odiously,shockingly
abomination|bane,dislike
aboriginal|autochthonic,initial,native
abort|end,flop,nullify
abortion|feticide,miscarriage
abortive|bootless,nugatory
abounding|galore,generous,plenteous
about|abroad,anent,circa,everywhere,practicing,re,surrounding
above|above-stated,aforesaid,commanding,forbye,imperious,overlooking,supra,upon
abrasion|contusion,excoriation,traumatism,ulcer
abrasive|acerb,eroding,inconsiderate,mordant,severe,vitriolic
abridge|edit,epitomize,prune,shrink
abridged|essential,expurgated,potted,skeleton
abridgment|condensation,conspectus
abroad|astir,extensively,forth
abrogate|deracinate,discontinue,scrap,vitiate
abrogation|chopping,deracination,scrapping,vitiation
abrupt|acute,churlish,declivitous,harsh,inelegant,laconic,meteoric,off,precipitate,vertiginous
abscess|canker,eruption,plook
abscond|decamp,scarper,vamoose
absence|absenteeism,dearth,default,ditching,holiday,poverty,sabbatical,truanting,wagging,without
absent|AWOL,abscond,absentminded,abstain,nonexistent,skiving,truant,vacuous,wagging
absentminded|brooding,woolgathering
absentmindedness|brooding,obliviousness
absolute|absolutist,antidemocratic,decided,dyed-in-the-wool,infallible,omnipotent,peremptory,plenary
absolutely|autonomously,dead,unequivocally,unquestionably,unreservedly
absolution|clearing,exculpation,mercy,release,shriving
absolve|exempt,vindicate
absorb|amuse,cushion,engage,lessen,master,monopolize,occupy
absorbent|blotting,sorbefacient,spongiform
absorbing|exciting,unputdownable
absorption|cushioning,interest,monopolization,osmosis
abstain|decline,keep
abstention|abstinence,nephalism,nonvoting,spinsterhood
abstinence|abstention,nephalism,self-denial,withholding
abstract|academic,aperçu,argument,conspectus,dissociate,epitomize,ideational,impressionistic,putative,summation,synopsize,wrap-up
abstraction|detachment,obliviousness,presumption,raptness
abstruse|involuted,mysterious
absurd|daft,grotesque,harebrained,implausible,risible,senseless
absurdity|incongruity,insanity,risibility
absurdly|barmily,grotesquely,implausibly,impossibly,perfectly,risibly,shockingly
abundance|assload,luxuriance,multitude,nimiety,oodles,riot,scads,shedload,shitload,swag
abundant|galore,lank,plenteous,teeming
abundantly|awfy,bitching,damned,exceeding,fair,frightfully,lekker,plenteously,right,so,thoroughly,très
abuse|beat,beating,contumely,damage,defamation,defame,disrespect,miscall,mishandle,mishandling,misuse,perversion,scolding,sin,torture,trash-talk,verbal(s)
abusive|bitchy,blasphemous,contemptuous,contumelious,inhumane,reproachful,sadistic,vituperative
abysmal|bottomless,chickenshit,poxy,unsatisfactory
academic|bluestocking,bookworm,brainy,general,ideational,lettered,pedagogical,pedagogue,putative,serious,university,useless
academy|conservatoire,polytechnic
acceleration|precipitation,worsening
accent|accentuate,delivery,ictus,orthoepy,priority,prominence,pulse,sign,twang
accept|adopt,commence,integrate,swallow,thole,wear
acceptable|appreciated,convenient,defendable,fair-to-middling,jake,moderate,presentable
acceptance|acquiring,forbearance,integration,ratification,swallowing,tackling,traction
accepted|settled,stock
access|boutade,examine,ingress,obtain,rush,splurt,upsurge
accessibility|approachability,cordiality,obtainability,reachability,readiness
accessible|approachable,cordial,get-at-able,handy,obtainable
accession|agreement,elevation,enrollment,gain
accessorize|augment,festoon,furbelow,suit
accessory|add-on,conniver,frill,jewelry,supplement,trappings
accident|RTA,casualty,derailment,difficulty,happenstance,hazard,inadvertently,mistakenly,prang,providence,shunt,unconsciously,wreck
accidental|aleatory,inessential,misguided,subconscious,unlooked-for,unmeant
accidentally|misguidedly,serendipitously,unawares,unexpectedly,unthinkingly
acclaim|ballyhoo,clap,emblazon,eulogium,homage,panegyrize,plaudits,testimonial
acclaimed|acknowledged,considerable
acclamation|eulogium,homage,plaudits,shouts,testimonial
acclimatization|conditioning,naturalization
acclimatize|acclimate,domesticate
accolade|bouquets,eulogium,palm,panegyric,rave,title
accommodate|acclimate,acculturate,domesticate,grant,satisfy
accommodating|agreeable,decent
accommodation|billet,board,chambers,compromise,habitation,naturalization,pad,places,seating
accompaniment|accessory,comp,organum
accompany|chum,companion,support
accomplice|co-conspirator,conniver,henchman
accomplish|conclude,effectuate
accomplished|ace,artful,badass,compleat,deadly,fine,habile,shit-hot,wizard
accomplishment|knack,know-how,triumph,versatility
accord|cede,convention,correlate,enthusiastically,jibe,parallel,settlement,square
accordance|observing,tendering
accordingly|correctly,ergo,thence,whence
accost|collar,nobble,solicit
account|check,execution,extenuate,give,impression,incapacitate,ostensibly,results,score,seriousness,sitrep,tab,tale,tally
accountability|answerability,obedience
accountable|chargeable,explainable,subject,unsurprising
accoutrements|appointments,dunnage,equipage,movables,rubbish,traps
accretion|amassment,snowballing,supplement
accumulate|assemble,garner,snowball
accumulation|accrual,agglomeration,amassment
accuracy|fairness,meticulousness,reliability,rigor,scrupulosity
accurate|canonical,fair,inch-perfect,precision,rigorous,veridical
accurately|fairly,reliably,rigorously,unerringly,veridically
accursed|anathematized,blighted,blimming,exasperating,infernal,loathly,terrible
accusation|beef,complaint,lawsuit,plaint
accustom|acclimate,resign
accustomed|stock,wonted
acerbic|acerb,acidulous,acrid,catty,distasteful,malicious,sarky,snarky
ache|bleed,burning,convulsion,covet,discomfort,mourning,throb,twinge,yen
achieve|consummate,net,reify,swing
achievement|creation,engineering,enterprise,fruition,procurement,reification
achiever|entrepreneur,giant,success
aching|bleeding,heavy,troublesome,twingeing
acid|acerb,acetous,acidulated,acidulous,astringent,catty,malicious,razor-edged,sarky,searing,snarky
acknowledge|accost,cognize,notice
acknowledged|avowed,just,unchallenged
acknowledgment|answering,comeback,consideration,hallo,knowledge,laudation,reaction,receipt,respect
acme|apogee,highlight
acolyte|chela,hanger-on,henchman,janissary,pursuivant,shadow
acquaintance|acquaintanceship,colleague,companionship,confrère,know-how
acquiesce|brook,suffer
acquiescence|abidance,accordance,nod,obedience,permit,sanction
acquiescent|bootlicking,resigned,resistless,respectful
acquire|attain,cop,land,secure
acquirement|amassing,mastery,procurement,qualification
acquisition|accretion,amassing,asset,goods
acquisitive|Mammonistic,grabby,hungry,money-oriented
acquisitiveness|Mammonism,grabbiness,materialism,money-grabbing
acquit|behave,complete,dismiss,effectuate,vindicate
acquittal|completing,deliverance,effectuation,vindication
acrid|acetous,mephitic,miasmal,nauseating,sooty
acrimonious|choleric,slashing,squint-eyed,virulent
acrimony|astringency,grievance,spleen
acrobat|funambulist,gymnast,stuntwoman
acrobatics|funambulism,nimbleness,skill
act|accomplishment,appear,appearance,bit,chapter,control,discharge,dissimulate,entertainment,falsification,gig,hoax,kid,legislation,perform,pronunciamento,requirement,song,ukase,understudy
acting|caretaker,changeover,histrionics,humbug,performing,pinch-hitting,pose,second-string
action|activity,affray,bloodshed,bustle,conduct,consequence,down,exertion,going,goings-on,operation,pep,pizzazz,response,shot,work
active|go-ahead,go-go,influential,involved,live,noninert,radical,spirited
activist|battler,demonstrator,extremist,netroots,promoter,protestor
activity|campaign,caper,dynamism,entertainment,incidents,maneuver,movement,pother,to-do,whirl
actor|artiste,luvvie,stager
actress|artiste,luvvie,stager
actual|indisputable,realistic,truly,unimaginary,verily,veritable
actuality|living,truly,verily
actually|forsooth,truly,verily
actuate|activate,animate,arouse,goad
acumen|arguteness,common,penetration,smartness,smarts,vision
acute|consuming,desperate,egregious,exquisite,ferocious,judicious,life-and-death,long-headed,parlous,pawky,peracute,precarious,profound,sapient,savvy,short-lasting,subtle,suss,whip-smart
acutely|devilish,heartily,lekker,oh-so,plumb
adage|commonplace,gnome,quotation
adamant|indurate,rock-ribbed,steadfast,steely,stiff-necked
adapt|acclimate,conform,refine,reorganize,tailor,tweak
adaptable|all-purpose,amenable,changeable,easy,multiskilled
adaptation|acclimation,customizing,naturalization,reconstruction,transformation
